country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year,gdp_per_capita,generation
Aruba,2008,male,5-14 years,0,404083,0.18,Japan2007,0.904,"4,515,264,514,431",45829,Generation Z
Netherlands,1986,female,35-54 years,21,300490,0.85,Kiribati1998,,"65,334,841",10933,Boomers
Azerbaijan,2000,female,75+ years,2,355015,8.5,Cuba1993,,"22,367,254,865",12199,Silent
Belgium,2009,female,15-24 years,15,346390,0.89,Belarus1999,0.857,"12,138,486,532",56652,Millenials
Austria,1994,male,15-24 years,38,151555,26.55,Azerbaijan1997,0.646,"3,962,710,163",8190,Generation X
El Salvador,2004,female,35-54 years,70,3000315,3.56,Estonia1995,,"4,373,665,146",27329,Boomers
Austria,1989,female,15-24 years,5,29087,0.36,Guatemala2001,,"18,702,802,395",7379,Silent
Paraguay,2007,female,55-74 years,7,194095,2.21,Israel1998,,"115,979,230,547",3824,Silent
Kyrgyzstan,2001,female,55-74 years,16,284027,1.94,Latvia1998,,"7,174,985,107",1662,Silent
Japan,2001,male,75+ years,1181,8280946,111.06,Sweden1992,0.695,"56,677,961,787",2504,Silent
Russian Federation,2004,male,55-74 years,114,739099,20.73,Norway1996,,"163,517,783,497",35062,Generation X
Colombia,1986,female,35-54 years,60,451018,11.28,Costa Rica1993,,"9,537,297,507",6044,G.I. Generation
Bahrain,2001,female,25-34 years,18,456503,0.09,Greece1994,0.776,"116,601,802,107",24496,Generation X
Colombia,2001,female,25-34 years,204,1104606,0.75,Costa Rica1991,0.881,"7,168,999,428",25799,Millenials
Denmark,1997,male,5-14 years,7,359973,3.19,Puerto Rico2000,,"61,701,800,000",5768,Millenials
Cuba,1994,male,35-54 years,0,750230,58.64,Cuba2009,,"62,080,000,000",53087,Boomers
Puerto Rico,2002,male,25-34 years,23,484181,0.91,Paraguay2006,,"10,646,157,920",21861,Generation X
Italy,2013,female,5-14 years,688,3018904,1.05,Kuwait1997,0.829,"30,354,434,553",8927,Millenials
Guatemala,2005,male,5-14 years,4,1047608,0.04,Guatemala1999,,"18,318,412,251",31152,Millenials
Italy,1985,male,75+ years,740,1694662,37.92,Mauritius1990,,"2,653,480,001",26523,G.I. Generation
Guatemala,1993,male,15-24 years,27,1041057,10.62,Bulgaria1994,,"9,697,416,974",1660,Generation X
Guatemala,1998,female,75+ years,14,157974,0.41,Spain1994,,"529,121,577,320",2175,Boomers
Cuba,1999,female,25-34 years,25,920865,11.25,Argentina1985,,"88,416,668,900",23788,Boomers
France,2014,male,15-24 years,82,717216,8.86,Greece1987,,"65,652,751,132",14220,Generation X
Hungary,1995,female,55-74 years,67,965259,16.19,Iceland1987,,"5,438,537,482",3682,Silent
France,1986,female,35-54 years,1688,1197505,4.01,Spain2007,,"1,479,341,637,011",2516,Boomers
Colombia,2000,female,5-14 years,0,3355924,0.0,Costa Rica1992,,"8,528,593,084",20091,Millenials
Italy,1992,female,55-74 years,503,4101200,4.13,Antigua and Barbuda1992,0.828,"11,926,953,259",22331,Boomers
New Zealand,1995,female,5-14 years,1,565200,0.43,Bulgaria2005,0.64,"29,636,617,750",61601,Millenials
Singapore,1992,male,15-24 years,658,2766955,11.76,Italy2007,,"2,203,053,380,783",3588,Generation X
Bulgaria,1997,female,25-34 years,9,167078,1.51,Canada1994,,"578,139,279,438",23842,Generation X
Guyana,2002,male,75+ years,16,24048,49.96,Guyana2005,,"824,880,550",2987,G.I. Generation
Belize,2016,male,5-14 years,0,699758,0.63,Greece2005,0.68,"330,000,252,153",7591,Millenials
Singapore,2010,male,25-34 years,106,372334,16.57,Saint Vincent and Grenadines2002,,"461,883,444",63697,Millenials
Colombia,2011,male,35-54 years,16,118965,0.67,Brazil1987,,"294,084,112,393",33156,Boomers
Barbados,2000,female,75+ years,0,278,0.46,Canada1990,,"593,929,550,908",19022,Silent
Mauritius,1989,female,75+ years,10,642,0.51,Mexico1989,,"222,977,046,516",24303,Silent
Cuba,2006,female,75+ years,19,239583,42.4,Cuba2008,,"60,806,300,000",11095,Silent
Puerto Rico,2007,female,15-24 years,1,1054659,3.74,Paraguay2011,,"25,099,681,461",13345,Millenials
Latvia,2004,female,75+ years,8,66624,0.77,Armenia1995,,"1,468,317,350",5657,Silent
Trinidad and Tobago,2015,male,15-24 years,0,55726,14.11,Belize1997,0.764,"654,314,350",7174,Millenials
Azerbaijan,1987,female,5-14 years,0,69984,0.21,Bulgaria1996,,"10,109,612,142",25469,Generation Z
Kazakhstan,2005,male,25-34 years,14,4542,3.83,Republic of Korea2003,,"680,520,724,062",7669,Boomers
