Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,latitude,longitude,Pin code,Output,Feedback,Unnamed: 12
33,Male,Single,Self Employeed,10001 to 25000,Post Graduate,3,9ead8d41,b8acef3e,560001,Yes,Positive,No
18,Male,Single,Student,No Income,Post Graduate,3,d9b9bbbf,a6cdf8a3,560001,Yes,Positive,Yes
33,Female,Married,Employee,More than 50000,Graduate,4,70516ef9,a783e92e,560016,No,Negative ,No
25,Female,Single,Student,No Income,Post Graduate,2,ee25b821,c26efa95,560001,Yes,Positive,Yes
21,Male,Single,Student,No Income,Post Graduate,4,5d48f4cb,efa85c93,560016,Yes,Positive,Yes
19,Male,Single,Employee,No Income,Graduate,3,78894ade,ed5d8f40,560001,No,Negative ,No
28,Female,Married,Employee,25001 to 50000,Graduate,3,b401a42c,346a28fc,560001,Yes,Negative ,Yes
31,Male,Married,Employee,More than 50000,Graduate,4,e89abcd9,2b8c5288,560089,No,Negative ,No
21,Male,Single,Employee,No Income,Post Graduate,3,e89abcd9,efa85c93,560044,Yes,Positive,No
22,Male,Single,Student,No Income,Post Graduate,3,7741335f,93779753,560001,Yes,Positive,Yes
25,Male,Single,Self Employeed,25001 to 50000,Post Graduate,3,11dbb29f,75ce67f9,560035,No,Positive,Yes
23,Male,Single,Student,25001 to 50000,Post Graduate,6,26ae0d95,cfd5146d,560028,Yes,Positive,Yes
22,Male,Single,Student,No Income,Post Graduate,4,be7d102a,fcf4dfb6,560001,Yes,Positive,Yes
27,Male,Prefer not to say,House wife,No Income,Graduate,4,d9b9bbbf,962cd56b,560043,Yes,Positive,Yes
19,Male,Single,Student,Below Rs.10000,Post Graduate,3,6ee1922d,abe93489,560001,Yes,Positive,Yes
23,Male,Single,Employee,No Income,School,4,26ae0d95,a6cdf8a3,560018,Yes,Positive,Yes
18,Male,Single,Employee,More than 50000,Post Graduate,4,11dbb29f,5099cdee,560014,Yes,Negative ,Yes
33,Male,Married,Student,25001 to 50000,Graduate,4,a736df38,bf715f9b,560001,No,Negative ,No
31,Male,Single,Employee,25001 to 50000,Post Graduate,4,6ca4c684,48d24285,560011,Yes,Negative ,No
21,Male,Single,Student,More than 50000,Graduate,3,ee25b821,f04aa8b8,560030,Yes,Positive,Yes
