Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,latitude,longitude,Pin code,Output,Feedback,Unnamed: 12
20,Female,Single,Student,No Income,Post Graduate,4,4b78db40,5a529c09,560001,Yes,Positive,Yes
24,Female,Single,Student,Below Rs.10000,Graduate,3,d9b9bbbf,abe93489,560009,Yes,Positive,Yes
22,Male,Single,Student,Below Rs.10000,Post Graduate,3,508b9024,8005c95e,560017,Yes,Negative ,Yes
22,Female,Single,Student,No Income,Graduate,6,356958c6,751fdc22,560019,Yes,Positive,Yes
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,5d48f4cb,6ce5e58b,560010,Yes,Positive,Yes
27,Female,Married,Employee,More than 50000,Post Graduate,2,6bc0f182,ec08ed8d,560103,Yes,Positive,Yes
22,Male,Single,Student,No Income,Graduate,3,d9b9bbbf,abe93489,560009,Yes,Positive,Yes
24,Female,Single,Student,No Income,Post Graduate,3,fb1f5167,55271476,560042,Yes,Positive,Yes
23,Female,Single,Student,No Income,Post Graduate,2,4b78db40,5a529c09,560001,Yes,Positive,Yes
23,Female,Single,Student,No Income,Post Graduate,4,dc1129e7,aa38426d,560048,Yes,Positive,Yes
22,Female,Single,Student,No Income,Post Graduate,5,5d48f4cb,6ce5e58b,560010,Yes,Positive,Yes
23,Male,Single,Student,Below Rs.10000,Post Graduate,2,d9b9bbbf,abe93489,560009,Yes,Negative ,Yes
23,Male,Single,Student,No Income,Post Graduate,5,f670f4af,8bbac575,560078,Yes,Positive,Yes
21,Male,Single,Student,No Income,Graduate,4,d9b9bbbf,abe93489,560009,Yes,Positive,Yes
23,Female,Single,Self Employeed,10001 to 25000,Post Graduate,5,78894ade,93779753,560004,Yes,Positive,Yes
24,Female,Single,Student,No Income,Post Graduate,6,3c91efe3,fcf4dfb6,560068,Yes,Positive,Yes
28,Female,Single,Employee,25001 to 50000,Post Graduate,2,9ead8d41,719501d1,560038,Yes,Positive,Yes
23,Female,Single,Student,No Income,Graduate,3,70516ef9,cff8dd39,560008,Yes,Negative ,Yes
25,Male,Single,Student,No Income,Graduate,4,f670f4af,8bbac575,560078,Yes,Negative ,Yes
21,Female,Single,Student,Below Rs.10000,Post Graduate,1,9ead8d41,719501d1,560038,Yes,Positive,Yes
24,Male,Single,Student,No Income,Post Graduate,3,d9b9bbbf,abe93489,560009,Yes,Positive,Yes
22,Male,Single,Student,No Income,Post Graduate,4,236703cf,f04aa8b8,560032,Yes,Positive,Yes
22,Female,Single,Student,No Income,Graduate,4,f4192a17,065c5e39,560033,Yes,Positive,Yes
23,Male,Single,Student,No Income,Graduate,4,2d6fa61c,281d1139,560021,Yes,Positive,Yes
21,Male,Single,Student,Below Rs.10000,Post Graduate,3,6ca4c684,5099cdee,560085,Yes,Positive,Yes
25,Male,Single,Student,No Income,Post Graduate,3,70516ef9,cff8dd39,560008,Yes,Positive,Yes
22,Female,Single,Student,No Income,Post Graduate,5,4d2061aa,f0438a51,560050,Yes,Positive,Yes
22,Male,Single,Student,No Income,Post Graduate,3,1c6edfd5,f20d1bd9,560098,Yes,Positive,Yes
23,Female,Single,Employee,10001 to 25000,Graduate,3,dc1129e7,aa38426d,560048,Yes,Positive,Yes
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,94a7bb46,394ff994,560003,Yes,Positive,Yes
22,Female,Single,Employee,10001 to 25000,Graduate,5,47467b56,a783e92e,560066,Yes,Positive,Yes
22,Male,Single,Student,No Income,Post Graduate,4,9ead8d41,719501d1,560038,Yes,Positive,Yes
25,Male,Married,Employee,More than 50000,Ph.D,4,792431cc,bc8550d7,560034,Yes,Positive,Yes
22,Female,Single,Student,10001 to 25000,Post Graduate,5,5d48f4cb,6ce5e58b,560010,Yes,Positive,Yes
22,Female,Single,Student,No Income,Post Graduate,2,8ee578a4,2f5f7f85,560102,Yes,Positive,Yes
25,Male,Single,Student,10001 to 25000,Post Graduate,3,6ca4c684,5099cdee,560085,Yes,Positive,Yes
25,Male,Single,Student,No Income,Post Graduate,5,d9b9bbbf,abe93489,560009,No,Positive,No
32,Female,Prefer not to say,House wife,No Income,Graduate,5,70516ef9,cff8dd39,560008,Yes,Negative ,Yes
23,Female,Single,Student,No Income,Post Graduate,3,78894ade,93779753,560004,Yes,Positive,Yes
23,Female,Single,Student,No Income,Post Graduate,4,f670f4af,8bbac575,560078,Yes,Positive,Yes
30,Male,Married,Self Employeed,More than 50000,Uneducated,4,0cc33afd,bf715f9b,560025,Yes,Negative ,Yes
23,Male,Single,Student,No Income,Graduate,3,4f532ded,253f58f6,560026,Yes,Positive,Yes
23,Male,Single,Student,No Income,Post Graduate,4,2d6fa61c,281d1139,560021,Yes,Positive,Yes
22,Female,Single,Student,No Income,Post Graduate,5,5d48f4cb,6ce5e58b,560010,Yes,Positive,Yes
22,Male,Single,Student,No Income,Graduate,5,5d48f4cb,6ce5e58b,560010,Yes,Positive,Yes
27,Female,Married,Self Employeed,10001 to 25000,Post Graduate,2,792431cc,bc8550d7,560034,Yes,Positive,Yes
24,Female,Single,Student,No Income,Post Graduate,3,d9b9bbbf,abe93489,560009,Yes,Positive,Yes
23,Male,Single,Student,No Income,Post Graduate,2,d9b9bbbf,abe93489,560009,Yes,Positive,Yes
23,Female,Single,Student,No Income,Graduate,3,70516ef9,cff8dd39,560008,Yes,Negative ,Yes
22,Female,Single,Student,10001 to 25000,Post Graduate,5,5d48f4cb,6ce5e58b,560010,Yes,Positive,Yes
23,Female,Single,Student,No Income,Graduate,5,e89abcd9,b8acef3e,560043,Yes,Positive,Yes
23,Female,Single,Student,No Income,Post Graduate,2,d9b9bbbf,abe93489,560009,Yes,Positive,Yes
24,Male,Single,Student,No Income,Post Graduate,3,d9b9bbbf,abe93489,560009,Yes,Positive,Yes
25,Male,Single,Student,No Income,Post Graduate,2,e98d79ff,d00875dd,560002,Yes,Positive,Yes
22,Male,Single,Student,No Income,Post Graduate,3,6ca4c684,5099cdee,560085,Yes,Positive,Yes
28,Female,Married,Student,No Income,Graduate,2,c66ffcb7,27d8bb01,560086,Yes,Positive,Yes
22,Female,Single,Student,No Income,Post Graduate,1,9593f3fb,6b6c32cb,560076,Yes,Positive,Yes
24,Female,Single,Student,No Income,Graduate,3,d9b9bbbf,abe93489,560009,Yes,Positive,Yes
31,Male,Married,Employee,More than 50000,Ph.D,5,8ee578a4,2f5f7f85,560102,Yes,Positive,Yes
25,Male,Single,Student,No Income,Post Graduate,4,c66ffcb7,27d8bb01,560086,Yes,Positive,Yes
23,Male,Single,Student,No Income,Post Graduate,5,f670f4af,8bbac575,560078,Yes,Positive,Yes
22,Male,Single,Student,No Income,Post Graduate,3,9593f3fb,6b6c32cb,560076,Yes,Positive,Yes
23,Male,Single,Student,25001 to 50000,Post Graduate,1,87050ad8,db1f11a7,560096,Yes,Positive,Yes
23,Male,Single,Student,No Income,Graduate,4,b401a42c,402b31e9,560029,Yes,Positive,Yes
23,Female,Single,Student,No Income,Post Graduate,2,94a7bb46,394ff994,560003,Yes,Positive,Yes
25,Male,Single,Student,No Income,Post Graduate,6,a995040e,079f99d5,560046,Yes,Positive,Yes
24,Male,Single,Employee,10001 to 25000,Graduate,4,cf20428e,3f6af0dd,560030,Yes,Positive,Yes
23,Female,Single,Student,No Income,Post Graduate,4,59b4d441,afcd006d,560024,Yes,Positive,Yes
23,Female,Single,Student,No Income,Post Graduate,4,59b4d441,afcd006d,560024,Yes,Positive,Yes
