Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,latitude,longitude,Pin code,Output,Feedback,Unnamed: 12
21,Female,Married,Employee,10001 to 25000,Graduate,3,4c1f373d,3aca4ec9,560109,Yes,Positive,No
31,Female,Married,Employee,No Income,Post Graduate,3,1218193c,a8dd663d,560074,No,Negative ,No
23,Female,Single,Employee,No Income,Graduate,2,abab4e6f,731c68e7,560030,Yes,Positive,Yes
25,Female,Single,Student,No Income,Post Graduate,5,4c90fbdc,86f296f3,560064,Yes,Positive,Yes
29,Female,Single,Student,No Income,Post Graduate,4,49a694bb,f35e0afb,560001,Yes,Positive,Yes
30,Female,Single,Employee,10001 to 25000,Post Graduate,6,8e314739,cba02685,560096,No,Negative ,No
28,Female,Single,Student,No Income,Post Graduate,3,abab4e6f,f4b5816f,560103,No,Negative ,Yes
24,Male,Single,Employee,More than 50000,Post Graduate,6,a58903a8,79065576,560088,No,Negative ,No
21,Female,Single,Student,More than 50000,Post Graduate,3,65994053,4df3bcda,560036,Yes,Positive,Yes
25,Male,Married,Employee,25001 to 50000,Post Graduate,3,57b1a996,b4c016eb,560050,Yes,Negative ,No
29,Male,Single,Student,No Income,Post Graduate,3,dc7cce23,ae307cbc,560087,Yes,Positive,Yes
33,Male,Single,Employee,More than 50000,Graduate,3,9c18854f,9f2f0c24,560001,Yes,Positive,Yes
27,Female,Single,Student,No Income,Graduate,2,b1f482ca,15d9645c,560083,Yes,Positive,Yes
33,Male,Married,Employee,More than 50000,Post Graduate,3,00492030,cba02685,560104,No,Negative ,No
20,Female,Single,Student,No Income,Post Graduate,4,8e314739,42a7f7af,560027,Yes,Positive,Yes
18,Male,Single,Employee,10001 to 25000,Uneducated,2,2684fc73,189a292e,560050,Yes,Positive,Yes
18,Male,Single,Student,No Income,Graduate,2,9c18854f,a8dd663d,560109,Yes,Positive,Yes
18,Male,Single,Self Employeed,No Income,Post Graduate,2,f9849d49,cba02685,560084,Yes,Negative ,Yes
20,Male,Single,Student,No Income,Post Graduate,2,9c18854f,a8dd663d,560087,Yes,Positive,Yes
24,Female,Single,Self Employeed,No Income,Graduate,4,68467ac7,5cdb9c31,560015,Yes,Positive,Yes
30,Female,Single,Student,Below Rs.10000,Graduate,2,ea87282a,49d5a447,560033,Yes,Positive,Yes
18,Male,Single,Student,No Income,Post Graduate,3,8c1cf4de,a8dd663d,560054,Yes,Positive,Yes
27,Male,Single,Student,No Income,Graduate,4,ab791525,86f296f3,560012,Yes,Negative ,Yes
18,Female,Single,Student,No Income,Graduate,3,5bef7cc2,322a291d,560109,Yes,Positive,Yes
29,Female,Single,Self Employeed,10001 to 25000,Graduate,2,49a694bb,bf92636c,560109,Yes,Negative ,Yes
26,Male,Single,Student,No Income,Post Graduate,2,4c0bddd9,b3ac5229,560001,Yes,Positive,Yes
26,Female,Single,House wife,25001 to 50000,Graduate,1,78af30c4,ecbeb9de,560020,Yes,Positive,Yes
25,Female,Single,Student,10001 to 25000,Graduate,2,f07ee426,26057cd0,560016,Yes,Positive,Yes
33,Male,Prefer not to say,Employee,More than 50000,Graduate,3,fc0cf724,c151a464,560064,No,Negative ,No
18,Female,Single,Self Employeed,25001 to 50000,Graduate,3,20dc44f7,066b180f,560109,No,Negative ,Yes
33,Female,Married,Student,25001 to 50000,Graduate,6,49a694bb,e0f68c27,560086,No,Negative ,No
18,Female,Single,Student,No Income,Post Graduate,3,36d890b3,994dcc1e,560089,Yes,Positive,Yes
29,Female,Married,Employee,25001 to 50000,Graduate,2,a58903a8,b70e693b,560085,No,Negative ,No
30,Female,Single,Student,25001 to 50000,Graduate,3,47098528,af65beea,560028,Yes,Negative ,Yes
30,Male,Single,Employee,No Income,Graduate,4,c4433575,caf70254,560048,Yes,Negative ,Yes
33,Female,Married,Employee,Below Rs.10000,Graduate,3,8e314739,46d07df4,560080,No,Negative ,No
21,Female,Single,Self Employeed,No Income,Post Graduate,3,a8453b08,cba02685,560066,Yes,Positive,Yes
33,Female,Single,Employee,10001 to 25000,Uneducated,4,4c90fbdc,f4b5816f,560027,No,Negative ,No
33,Male,Single,Self Employeed,10001 to 25000,Graduate,2,03b2445a,4eba72e1,560033,No,Negative ,No
18,Female,Single,Student,No Income,Post Graduate,3,581309fd,8bbd8130,560076,Yes,Positive,Yes
18,Female,Single,Student,No Income,Post Graduate,3,2684fc73,1d052f25,560064,Yes,Positive,Yes
33,Female,Married,Employee,More than 50000,Graduate,6,5afb9c4d,ebff6325,560075,No,Negative ,No
24,Male,Single,Student,No Income,Post Graduate,3,de8419cd,71efd4f4,560001,Yes,Positive,Yes
27,Female,Single,Student,No Income,Graduate,2,9c18854f,fbd8c084,560056,Yes,Positive,Yes
27,Female,Single,Student,25001 to 50000,Post Graduate,6,4c1f373d,5e1e7061,560046,Yes,Positive,Yes
23,Female,Single,Student,No Income,Graduate,3,4c1f373d,4df3bcda,560002,Yes,Positive,Yes
29,Male,Single,Employee,More than 50000,Graduate,6,823169ad,026be243,560053,Yes,Negative ,No
33,Female,Single,Student,More than 50000,Graduate,5,c573ed62,6a8228a6,560063,Yes,Positive,Yes
18,Male,Single,Student,No Income,Post Graduate,2,abab4e6f,b70e693b,560020,Yes,Positive,Yes
24,Female,Single,Self Employeed,25001 to 50000,Graduate,4,64f2d19f,7c7c96c6,560080,No,Positive,No
33,Female,Single,Self Employeed,More than 50000,Post Graduate,3,7c72a625,5cdb9c31,560037,No,Negative ,No
25,Male,Married,Self Employeed,25001 to 50000,Graduate,2,64f2d19f,5d7ac486,560089,No,Negative ,Yes
29,Female,Prefer not to say,Student,No Income,Post Graduate,3,bce944c2,ace03abc,560043,Yes,Positive,Yes
32,Female,Married,Employee,More than 50000,Graduate,4,2684fc73,b3ac5229,560063,No,Positive,Yes
18,Female,Single,Student,No Income,Post Graduate,3,611084c3,8dbff119,560030,Yes,Positive,Yes
25,Female,Married,Employee,No Income,Post Graduate,3,79aeb177,189a292e,560010,No,Negative ,No
21,Female,Single,Employee,No Income,Post Graduate,6,7ae36d40,189a292e,560079,Yes,Negative ,No
27,Male,Single,Student,No Income,Post Graduate,3,330fa9f8,291b7bb9,560025,Yes,Positive,Yes
24,Female,Single,Student,No Income,Post Graduate,3,9d11f0ca,6d40fa6f,560014,Yes,Positive,Yes
33,Male,Married,Employee,No Income,Post Graduate,3,a8453b08,10a1562d,560046,No,Negative ,Yes
27,Male,Single,Employee,No Income,Graduate,3,278c1b51,26057cd0,560050,Yes,Negative ,Yes
22,Male,Single,Self Employeed,No Income,Uneducated,3,4c90fbdc,a84d5387,560060,Yes,Negative ,Yes
18,Male,Single,Student,More than 50000,Post Graduate,4,814ac177,42a7f7af,560021,Yes,Positive,Yes
19,Male,Single,Student,No Income,Post Graduate,5,47098528,db0534d6,560043,Yes,Positive,Yes
22,Male,Single,Student,No Income,Post Graduate,3,9bd24934,49d5a447,560025,Yes,Positive,Yes
30,Female,Single,Student,No Income,Post Graduate,3,01efe42d,f4b5816f,560029,Yes,Positive,Yes
21,Male,Single,Student,No Income,Post Graduate,3,b1f482ca,9c3aa79a,560109,Yes,Positive,Yes
30,Female,Single,Self Employeed,25001 to 50000,Post Graduate,3,924ea468,e0f68c27,560109,Yes,Negative ,No
25,Male,Single,Employee,10001 to 25000,Post Graduate,6,9c18854f,fbd8c084,560001,Yes,Positive,Yes
20,Female,Single,Employee,No Income,Uneducated,2,03b2445a,6a8228a6,560086,No,Positive,Yes
33,Female,Married,Employee,25001 to 50000,Ph.D,6,9d11f0ca,f4b5816f,560008,No,Negative ,No
29,Female,Prefer not to say,Self Employeed,25001 to 50000,Graduate,3,581309fd,644defaa,560044,No,Negative ,No
33,Female,Married,Employee,No Income,Graduate,3,4a86c123,49d5a447,560093,Yes,Positive,Yes
29,Female,Married,Student,No Income,Graduate,3,2684fc73,5e1e7061,560025,No,Positive,Yes
22,Female,Single,Employee,More than 50000,Graduate,3,f9849d49,026be243,560030,No,Positive,No
30,Female,Married,Student,No Income,Graduate,2,b1f482ca,42a7f7af,560001,Yes,Positive,Yes
20,Female,Single,Student,No Income,Post Graduate,2,abab4e6f,026be243,560029,Yes,Negative ,Yes
30,Female,Prefer not to say,Employee,No Income,Graduate,2,5bef7cc2,6a8228a6,560060,No,Positive,Yes
22,Female,Single,Student,Below Rs.10000,Post Graduate,3,e7c0509d,8bbd8130,560061,Yes,Positive,Yes
